id,listing_id,unit_id,updated_at
543038256,21429708,UN0651,2019-10-06 4:09:31
543038257,22737035,UN0651,2019-10-06 4:09:31
543038258,21313650,UN0652,2019-10-06 4:09:31
543038259,21313824,UN0653,2019-10-06 4:09:31
543038260,21314086,UN0654,2019-10-06 4:09:31
543038261,21302939,UN0657,2019-10-06 4:09:31
543038262,467685201,UN0657,2019-10-06 4:09:31
543038263,21429999,UN0658,2019-10-06 4:09:31
543038264,23257225,UN0664,2019-10-06 4:09:31
543038265,23278401,UN0665,2019-10-06 4:09:31
543038266,23258028,UN0666,2019-10-06 4:09:31
543038267,24662358,UN0667,2019-10-06 4:09:31
543038268,23360316,UN0668,2019-10-06 4:09:31
543038269,23295112,UN0669,2019-10-06 4:09:31
543038270,21597215,UN0670,2019-10-06 4:09:31
543038271,21829922,UN0670,2019-10-06 4:09:31
543038274,5056815,UN0671,2019-10-06 4:09:31
543038276,5056832,UN0672,2019-10-06 4:09:31
543038279,20257601,UN0673,2019-10-06 4:09:31
543038280,20239864,UN0674,2019-10-06 4:09:31
543038281,21741279,UN0675,2019-10-06 4:09:31
543038283,22875501,UN0675,2019-10-06 4:09:31
543038284,22974192,UN0675,2019-10-06 4:09:31
543038286,293948103,UN0675,2019-10-06 4:09:31
543038287,21741516,UN0676,2019-10-06 4:09:31
543038288,22896772,UN0676,2019-10-06 4:09:31
543038289,293948104,UN0676,2019-10-06 4:09:31
543038290,123456789,UN0677,2019-10-06 4:09:31
543038291,21478086,UN0677,2019-10-06 4:09:31
543038292,293948101,UN0677,2019-10-06 4:09:31
543038294,21741591,UN0678,2019-10-06 4:09:31
543038296,23241329,UN0679,2019-10-06 4:09:31
543038297,25035851,UN0679,2019-10-06 4:09:31
543038298,293948102,UN0679,2019-10-06 4:09:31
543038299,21741704,UN0680,2019-10-06 4:09:31
543038300,21258197,UN0683,2019-10-06 4:09:31
543038301,22853119,UN0683,2019-10-06 4:09:31
543038302,21302381,UN0684,2019-10-06 4:09:31
543038303,28899589,UN0685,2019-10-06 4:09:31
543038304,22853619,UN0686,2019-10-06 4:09:31
543038305,21235840,UN0687,2019-10-06 4:09:31
543038306,22785403,UN0687,2019-10-06 4:09:31
543038308,2513399,UN0688,2019-10-06 4:09:31
543038309,251339901,UN0688,2019-10-06 4:09:31
543038311,251339902,UN0689,2019-10-06 4:09:31
543038313,251339903,UN0690,2019-10-06 4:09:31
543038315,251339904,UN0691,2019-10-06 4:09:31
543038317,17048895,UN0692,2019-10-06 4:09:31
543038318,17081546,UN0692,2019-10-06 4:09:31
543038319,17627938,UN0692,2019-10-06 4:09:31
543038320,17081312,UN0695,2019-10-06 4:09:31
543038321,25489170,UN0703,2019-10-06 4:09:31
543038322,29165144,UN0703,2019-10-06 4:09:31
543038339,235526804,UN0723,2019-10-06 4:09:31
543038340,23864037,UN0723,2019-10-06 4:09:31
543038342,235526805,UN0724,2019-10-06 4:09:31
543038344,DIRECTLULIKT1,UN0724,2019-10-06 4:09:31
543038345,235526806,UN0725,2019-10-06 4:09:31
543038346,24105650,UN0725,2019-10-06 4:09:31
543038347,235526807,UN0726,2019-10-06 4:09:31
543038348,22220403,UN0727,2019-10-06 4:09:31
